,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,量産前,,,,,,量産後,,,,,,,,,,,,,,,,,
,シリーズ名,◯◯コラボ,,,商品企画課 記入,,,,,試作課,製造部,企画課,生産管理課,,修正,,,,,,,,,,,,,,,,,
,商品名,◯◯トートバッグ小,,,製造部 記入,,,,作成者,◯◯,,◯◯,,進藤,,,,,,,,,,,,,,,,,,
,色,,,,試作課 記入,,,,作成日,2026/2/11,,2026/2/13,,2026/3/17,,,,,,,,,,,,,,,,,,
,品番,,,,製造部・生産管理課　記入,,,,確認者,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,確認日,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,原厚指定±0.2はブレの範囲,,,,裁断後厚より0.3以下,,,,,,,,,,,,
,,,型番,抜型名,革名,革仕入先,リードタイム,単価,正味数量（枚）,使用数,実用尺,"ロス率
（%）",ロス込み数量,金額,元厚,原厚,目の指定,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
裁断担当","大漉き（コバ塗り後）
製造担当",,,,備考・ルール,,,,,,,,
,本体革,,A-1,背胴,ブーチネ,相川商事,,68,6.7ｄｓ,1 ,6.67,201%,13.44, 914 ,,1.4~1.5,あり,原厚(1.4~1.5),,,背側が底になる向きで裁断,,,・同じパーツでも漉厚が違う場合は変え行,,,,,,,,
,,,A-2,前胴,,,,,6.1ｄｓ,1 ,6.08,201%,12.25, 833 ,平均ds,歩留まり,あり,原厚(1.4~1.5),,,背側が底になる向きで裁断,,,・目の指定は背通りの目がパーツの縦目か横目か,,,,,,,,
,,,A-3,底荒型,,,,,0.7ｄｓ,1 ,0.72,201%,1.45, 99 ,226,4.7,,0.5 ,,,,,,,,,,,,,,
,,,A-4,ダーツ当て革表荒型,,,,,0.2ｄｓ,6 ,1.14,201%,2.30, 156 ,,,,0.5 ,,,,,,,,,,,,,,
,,,A-5,ダーツ当て革裏荒型,,,,,0.2ｄｓ,6 ,1.02,201%,2.05, 140 ,,,,0.5 ,,,,,,,,,,,,,,
,,,A-6,ハンドル表荒荒型,,,,,2.0ｄｓ,1 ,2.03,201%,4.09, 278 ,,,,0.8 ,あり,,,,,,,,,,,,,
,,,A-6,ハンドル裏荒荒型,,,,,2.0ｄｓ,1 ,2.03,201%,4.09, 278 ,,,,0.8 ,,,,,,,,,,,,,,
,,,A-7,半カマ巻き革短,,,,,0.2ｄｓ,1 ,0.22,201%,0.44, 30 ,,,,0.6,,,,,,,,,,,,,,
,,,A-8,半カマ巻き革長,,,,,0.3ｄｓ,1 ,0.34,201%,0.68, 47 ,,,,0.6,,,,,,,,,,,,,,
,,,A-9,半カマ巻き革ノット,,,,,1.2ｄｓ,1 ,1.23,201%,2.48, 168 ,,,,0.6,,,,,,,,,,,,,,
,,,-,革紐　ノット用,,,,,0.8ｄｓ,1 ,0.84,201%,1.69, 115 ,,,,0.5 ,,,,,,,,,,,,,,
,,,-,革紐　カマボコ短用,,,,,1.2ｄｓ,1 ,1.20,201%,2.42, 164 ,,,,0.5 ,,,,,,,,,,,,,,
,,,-,革紐　カマボコ長用,,,,,1.0ｄｓ,1 ,0.96,201%,1.93, 131 ,,,,0.5 ,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,201%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,201%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,201%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,23 , 24.48 ,,49.31," 3,353 ",,,,,,,,,,,,,,,,,,
,,,,型入れ枚数,,,,,,2 ,12.75,,,,,,,,,,,,,,,,,,,,,
,,,,大漉き枚数,,,,,,23 ,,,,,,,,,,,,,,,,,,,,,,
,本型,,B-1,底本型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-2,ダーツ当て革本型,,,,,,6枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-3,ハンドル荒型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-4,ハンドル裏荒型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-5,ハンドル本型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-6,背胴本型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,B-7,前胴本型,,,,,,1枚,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,元厚,原厚,,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
裁断担当","大漉き（コバ塗り後）
製造担当",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,12 ,,,,,元厚,原厚,,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
裁断担当","大漉き（コバ塗り後）
製造担当",,,,,,,,,,,,
,革２,,,,,,,,1.0ｄｓ,1 ,1.00,105%,1.05, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,平均ds,歩留まり,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,100,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,105%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1.05,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,1 ,1.00,,1.05, 0 ,元厚,原厚,,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
裁断担当","大漉き（コバ塗り後）
製造担当",,,,,,,,,,,,
,革３,,,,,,,,1.0ｄｓ,1 ,1.00,1505%,15.05, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,平均ds,歩留まり,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,150,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,1505%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,15.05,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,1 ,1.00,,15.05, 0 ,元厚,原厚,,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
裁断担当","大漉き（コバ塗り後）
製造担当",,,,,,,,,,,,
,内装革,,A-1,背胴内装,"RIVA（スエード）
",相川商事,,59,6.7ｄｓ,1 ,6.67,199%,13.28, 784 ,1.2,0.7 ,あり,0.7 ,,,底に向けて毛並みが寝る向きで裁断,,,,,,,,,,,
,,,A-2,前胴内装,,,,,6.1ｄｓ,1 ,6.08,199%,12.11, 714 ,平均ds,歩留まり,あり,0.7 ,,,底に向けて毛並みが寝る向きで裁断,,,,,,,,,,,
,,,A-3,底内装,,,,,0.7ｄｓ,1 ,0.72,199%,1.43, 85 ,136,5.2,,0.7 ,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
